,0,1,2,3,4,5,6,7
0,253476,458685,742790,420998,102939,677996,109558,609328
1,449982,35973,308873,45860,905789,61027,61088,902505
2,267537,42463,988151,250453,108304,908800,912310,891578
3,93893,734403,384659,152464,570199,851871,879284,737308
4,644175,446359,707224,950703,120759,425504,61008,472352
5,107717,647153,684527,248165,438543,605081,331492,717626
6,500598,786471,54505,626755,81826,359773,864869,267059
7,431908,500949,949258,161505,544414,363131,939003,641235
8,560307,993823,432573,169021,546837,543898,810899,901009
9,617797,1906,902250,304409,258183,368994,434835,285061
10,219724,64440,99249,432525,924514,554273,904922,382332
11,763368,746790,448840,637257,607055,130583,374105,454894
12,666835,661034,387270,463463,5084,979891,189271,310503
13,47233,280491,772770,535581,167975,847354,912883,966901
14,237031,487828,7817,852492,739271,362032,893414,519888
15,425028,650742,248679,807551,818685,331855,286479,804393
16,26500,188028,920043,42175,580909,908352,978647,878429
17,171834,663251,780013,298757,802687,421768,537887,377869
18,82451,193367,234743,861523,682165,31282,459386,492966
19,676092,313539,144067,113766,531783,349019,785617,387964
20,997754,538718,756746,716439,603309,187387,464055,898677
21,521890,870344,32640,709310,168719,321122,336605,422749
22,51988,570380,235963,605394,156818,122567,266028,151909
23,84216,223701,991897,320887,735302,722263,239004,319537
24,574750,205611,411787,354002,477189,801818,806935,94191
25,815332,108706,434432,975986,720860,531541,627643,415972
26,77822,652349,765571,592441,197472,939674,492166,683169
27,673918,467011,154851,557877,38508,447844,157272,607004
28,184824,428586,190282,10142,76969,799831,98226,156671
29,397589,434439,685143,705042,646713,487785,338104,326871
30,725997,538593,79434,709255,175332,855891,73921,571879
31,64456,641314,102466,14795,217014,519161,685066,204375
32,122701,93484,770053,726701,658456,28242,942286,156284
33,491192,312682,599908,99559,561847,15070,832842,623312
34,97715,600181,397771,763958,47866,909360,717090,798025
35,405918,500341,710253,370463,527383,432344,550039,385643
36,621011,236609,214858,539014,485072,158303,210837,76500
37,621930,307118,599831,380351,127423,643976,25058,740999
38,40445,83518,228755,715149,344733,434183,101282,473963
39,924833,878054,436511,963643,136694,98682,902004,74484
40,351168,604356,415133,717902,195321,32138,607946,394914
41,944188,227387,165664,84115,546523,180426,868390,76363
42,376687,436578,914605,333586,481799,854949,419010,577202
43,23621,434104,349416,246833,964285,430731,79411,277258
44,435736,153763,4046,342739,706378,324122,686003,231518
45,909280,452259,646099,642585,87757,573130,5840,342131
46,287391,274374,674609,23102,842970,354308,462880,926402
47,5771,373766,856063,640983,530795,233269,746929,796417
48,133609,296852,764124,711674,424896,212802,754727,857912
49,726200,834657,997264,224311,756521,245754,931881,26707
50,931833,325336,827824,348554,781203,392421,789740,765252
51,512336,159146,552411,775097,272462,217985,410927,832834
52,705916,513983,672951,266726,918878,754274,241616,653327
53,106487,624515,449306,840487,81336,149595,619566,84016
54,37147,113388,950066,689374,911821,630031,325604,953912
55,521576,923470,539726,659621,500477,489833,427594,963533
56,107518,430258,596537,455428,914734,348508,175704,60297
57,282325,306211,886188,904203,193373,397961,71601,481359
58,508567,838252,377223,652952,121711,399398,904579,557275
59,94973,305975,767084,191930,614066,421175,402276,438588
60,612718,286659,305243,799322,378469,500162,613855,159598
61,79130,321583,615704,919888,264117,330317,946071,187812
62,503950,397173,209803,862425,485754,7688,201635,537287
63,659667,376623,259718,885967,56674,976188,137322,544876
64,297281,233883,835216,739618,526483,518280,413944,620716
65,374595,918960,921538,537666,451023,85994,365071,885988
66,227007,580374,251610,737045,615370,188568,277231,110025
67,108676,80145,615536,336319,900968,551936,18482,226053
68,368934,113419,1628,508001,231164,883184,94155,305475
69,994068,143565,80057,76631,502334,595079,622389,25515
70,688861,912248,927942,138844,619953,102629,808086,818257
71,236080,274883,615814,629391,807751,78645,664449,682771
72,580609,462604,68161,525484,458348,775803,520128,682179
73,183800,112188,42798,280190,711720,913280,255155,724279
74,600191,116353,224264,269719,832986,193905,771949,210489
75,581145,54131,516325,755559,213400,917698,983756,981952
76,80780,388248,749187,455705,725153,837064,88483,682227
77,51955,978956,983783,828470,635966,274309,587849,402417
78,424161,340829,370036,437267,907311,95476,307143,572458
79,104441,130735,115189,925216,955940,391025,608006,263691
80,776666,390463,348625,188266,112370,552333,457248,103395
81,781456,53828,775430,21458,364027,390106,253202,925202
82,712650,984207,586028,258582,171941,831001,701346,92593
83,817987,871366,198689,577234,328256,397088,663099,224678
84,977746,559228,520775,81347,17513,717931,220884,225638
85,96027,137432,96801,498754,304816,172173,234931,159932
86,33736,2648,769265,906927,261771,723232,908152,481519
87,501503,687902,752266,30649,557045,309301,814485,581791
88,57189,611628,732137,693606,593405,110982,324113,883183
89,871525,31123,276842,933973,303859,922718,789273,860080
90,343464,822759,225690,873424,371859,956105,375421,133386
91,76940,624397,229198,695661,684203,23466,314449,720716
92,902215,79434,215225,892437,554546,178798,19194,36282
93,611823,37676,137738,550965,925212,786617,469690,831549
94,143056,855169,696847,152711,136921,379879,541263,882952
95,79654,84568,325693,893774,137273,780503,332251,459943
96,313447,866656,26779,607605,401317,534631,367394,376353
97,79028,840028,420719,768972,430920,268196,771444,99625
98,503519,28660,859586,280529,170724,1615,553292,931256
99,183872,296037,64638,911918,561598,949867,288089,664665
100,732933,735422,116964,576932,131245,949414,473318,781581
101,969970,543476,617211,278390,958711,399069,939144,947269
