,0,1,2,3,4,5,6,7
0,958777,5914,480092,505334,338525,364442,112655,614417
1,54998,451998,986376,114361,951261,595024,780805,821297
2,245945,572520,908743,966835,781178,567406,303890,511098
3,272228,298005,538453,737453,410538,774579,937989,497041
4,77784,74076,850495,686183,111457,663063,826451,786010
5,424069,523261,946772,31912,868284,380094,164961,321004
6,693804,206927,810705,667133,112438,248649,318605,603852
7,16759,260136,861148,159716,122292,449990,696502,836238
8,877383,80581,662332,185493,522594,971607,272238,369175
9,786237,901061,79724,171447,902014,278208,625801,467835
10,765867,918154,486378,170113,869628,642431,68917,713536
11,565848,511149,72888,308204,750213,775250,184145,423464
12,753350,214769,175547,152593,424643,309283,126310,959400
13,169403,410730,736313,963282,8923,71866,422689,741178
14,873397,496326,983446,412833,313767,691153,227117,127616
15,936207,769641,1297,786913,621410,700736,646231,377536
16,655567,473445,843317,288493,996417,219869,267267,574650
17,3290,82244,757144,543691,573490,712785,593822,848311
18,916045,865087,662797,536757,37176,643735,625298,556469
19,764745,707795,161705,594359,429971,996453,356277,472255
20,1156,295565,901534,212732,188703,640573,82283,596846
21,293692,260909,361544,461937,301016,139011,862103,64121
22,774623,427865,18006,692753,566800,734358,235457,462770
23,179047,232173,853428,531467,246801,154493,247975,338868
24,787874,729933,771141,108341,350508,919977,940751,305277
25,51178,927905,286782,387139,881586,905077,740192,268078
26,593101,234189,316881,309255,131786,790391,478146,326324
27,106407,92895,946202,118774,44958,504062,717023,671500
28,443115,600611,707293,764439,777471,473550,692128,42715
29,321219,393540,402634,629707,521900,103790,335987,556017
30,322681,999743,270348,712280,695817,829507,711599,116098
31,222949,483707,453459,744464,532455,968254,947789,639514
32,105431,110713,140892,804540,420660,802087,238852,601170
33,766440,761278,379627,278226,15386,858518,589644,437143
34,254464,111702,399793,452951,837054,114630,761710,257311
35,964590,135962,425172,152835,138129,737754,993079,234403
36,789448,455395,487129,326326,365659,653297,264372,815309
37,388071,52905,310503,231387,332543,324226,244110,794270
38,363206,392442,739008,365776,460538,88391,848099,244181
39,478041,353831,851241,948763,433321,828283,102154,968472
40,634413,46313,572379,779877,623145,365717,286104,825782
