,0,1,2,3,4,5,6,7
0,881461,371208,836277,770900,2632,590318,233106,436751
1,539983,328211,593648,767456,787746,425874,247200,459429
2,706247,642886,648531,616529,781948,243553,632973,703724
3,24079,527755,86891,407217,476346,953770,873212,437045
4,577982,933516,502614,161468,619763,16934,583325,235920
5,881765,358864,737445,859629,458515,494572,975428,925566
6,599553,731183,800409,395964,156386,14645,555692,542334
7,597527,878235,890396,468522,235801,680987,415641,782404
8,996855,251028,972838,453956,165046,373812,468963,235896
9,888750,492113,587394,86716,140251,903774,426298,42622
10,120180,601226,39931,528447,180133,984779,11348,614496
11,147213,541501,246315,227201,765769,931437,622104,640588
12,656788,765580,706233,718860,847406,12946,243446,110482
13,929474,783064,310381,776016,903975,319678,292439,423875
14,212356,769484,564676,961897,423680,848989,634754,369878
15,179912,871543,972333,157609,359685,134142,160086,122264
16,1100,614274,288267,649670,914860,819712,728276,492862
17,853942,943653,143730,724108,236232,344939,95930,747716
18,392740,682851,536272,97725,971164,122014,226296,489304
19,680071,178683,395740,912655,656035,457552,68469,53348
20,744805,714514,605846,482418,310689,483106,609124,999258
21,858554,583118,175069,422143,649688,776824,472968,478549
22,464598,96341,107927,18906,722276,654133,13182,763931
23,787933,451546,102923,219000,529902,732427,659856,530060
24,858478,588892,558858,907448,314289,847582,982538,832734
25,78616,313352,82064,167419,591852,585787,50290,303879
26,568848,644145,737087,851299,733032,667258,617773,29997
27,241071,406662,300971,446792,991056,762156,274819,585323
28,940193,247913,47946,539543,444161,86726,389063,851811
29,554416,973040,646577,521766,559598,192138,63816,94448
30,375226,782559,24,772766,85960,35107,109967,308766
31,771655,838032,99691,574722,982794,859114,293231,294285
32,796099,84685,256926,248297,686440,891983,305540,304680
33,940183,639645,290398,708311,216272,37039,213249,346139
34,760486,842286,839813,697543,568190,516481,635937,398720
35,839466,867046,511068,792984,934189,307327,850808,452079
36,459822,523674,595761,31923,795906,578141,447786,137795
37,395002,156314,380502,328600,232675,2132,347749,770640
38,276996,760559,714145,815697,797646,870217,677231,106576
39,532114,92678,54090,356584,408080,207226,957455,8577
40,987207,706897,782291,285481,887511,69868,756568,808122
41,378148,795455,873914,734376,596353,50530,42103,953679
42,459848,971560,648339,764645,389937,455056,542894,748937
43,661613,172994,630530,628819,595182,294001,912109,408706
44,838858,866159,398117,820030,834505,414527,430893,541484
45,787520,23576,932685,741900,474724,630808,282617,800843
46,958414,571724,170586,260590,451202,619000,652658,10161
47,157531,699423,294079,526924,823754,996261,752720,638709
48,641760,557104,219645,477753,587737,399715,82401,119200
49,665136,516610,843652,439322,610145,44536,159609,161120
50,222178,823868,249601,105235,956458,481528,767062,246658
51,18930,650058,858499,606332,776223,528997,146782,422403
52,443758,165913,753558,56651,24060,70858,273642,556058
53,139680,284711,256543,491342,243708,908734,665412,806736
54,230594,819918,452145,922398,7237,311390,373732,268529
55,753201,89394,193311,956326,223792,753070,833345,767684
56,48210,26447,807085,686061,405338,957493,250487,381936
57,87530,204680,701078,424317,693104,707888,872013,812221
58,289494,691915,828263,900970,831347,643081,383516,461635
59,712736,233104,416749,812460,163499,686976,530226,675997
60,557856,564651,167302,769309,196758,376499,616286,241432
61,551759,932236,585117,145491,432133,736233,58822,35649
62,466088,342910,738489,717121,432566,37231,63311,97925
63,747319,98292,612526,490332,379442,533417,820344,214088
64,344101,621625,125263,728030,26450,965176,18258,16119
65,61314,779677,317690,925530,954847,981141,201259,145824
66,640881,98182,770829,79698,34122,127238,812530,132774
67,421362,325975,203564,508214,138798,460540,207041,125373
68,480791,53567,948942,913138,649093,697733,497894,388994
69,316592,480063,638279,390381,116638,295515,147045,176033
70,340103,133100,46846,831977,309391,732265,906241,479259
71,494572,865389,489661,246604,793493,871551,261383,738329
72,672954,494538,219046,378802,896618,559048,401389,787170
73,44062,604017,490419,81799,356014,359151,420852,475507
74,306903,675567,174923,567802,22844,33502,427505,949244
75,484600,783881,719512,698674,75314,220889,329555,436843
76,780083,507193,976029,81394,283191,217547,459683,390899
77,253443,907386,239433,250456,492691,705973,502291,636676
78,977584,911923,815327,199108,195250,844969,869500,591782
79,313541,35115,490353,860208,891093,425607,240104,860970
80,680512,953701,184509,410330,734707,328472,190731,681889
81,714754,228063,882542,826743,230922,484459,65543,435463
82,128756,805665,797583,695191,885099,98430,985310,455539
83,329140,705803,951156,690205,885252,250365,236640,569872
84,542371,104333,67896,149502,355236,931083,694570,134269
85,605935,367630,435654,871507,12075,271600,427014,522793
86,29541,436788,958954,678990,617199,538699,437024,513170
87,126375,408016,545965,295483,730310,598278,37236,873708
88,119442,484753,829853,440479,336377,418705,295352,231420
89,815537,452755,794282,744119,156340,970432,755065,851143
90,298472,27530,346683,205315,717229,844917,162639,402694
91,805778,680721,886675,973372,278785,279782,765500,276067
92,621295,846176,573683,479988,942078,641012,176484,119925
93,451097,175756,679431,563778,385836,628301,34226,587719
94,806740,575321,968834,377598,636383,15896,575122,361695
95,460654,149704,719986,587556,40840,550588,609814,113491
96,129825,229343,971493,61072,740084,360568,179180,766170
97,238789,902850,936342,825158,860014,765387,951978,744669
98,949689,389330,651691,745691,421486,795052,197854,411614
99,506610,201684,982546,373236,646634,343263,927919,150698
100,551112,50348,332565,995764,566923,118903,755925,919397
101,883391,831778,887690,90917,366201,914301,747662,515455
102,823222,106699,676201,354537,415498,416685,222874,722227
103,590216,127501,712096,553169,841087,171079,513529,576290
104,824803,484325,554297,904035,955999,756790,579420,206558
105,698608,924554,977484,721110,697325,350295,288148,859446
106,201013,835076,336581,78711,763155,891427,409165,673736
107,925495,553636,336816,201028,536861,287110,630400,609973
108,349475,329906,834445,553454,220148,674285,911331,795454
109,669877,389819,742740,828201,697566,791470,330872,242331
110,214149,955308,843265,15331,678229,877558,478602,630770
111,439657,881383,641365,111122,942692,100985,205177,51626
112,948528,951863,898483,547387,184034,465103,952978,68368
113,75290,948021,138711,845051,384762,942074,644528,667166
114,674611,922693,669679,95591,102183,535414,784465,301628
115,531034,707612,814279,951738,255901,222058,789162,183822
116,426547,979931,966057,764189,436915,878485,939660,132985
117,539089,675939,934709,229242,527544,334544,138349,813441
118,199346,901490,450692,889719,156858,670225,119815,238360
119,138765,378773,863279,584257,111174,855939,832146,830351
120,152248,867425,901278,259191,940594,806168,132489,730023
121,122078,376742,301523,623784,584408,222008,207318,780893
122,349573,582265,338690,361916,537752,675535,818203,23429
123,614170,861018,583889,197594,155895,910262,207441,71254
124,65737,955629,129679,330556,376905,820841,552659,139181
125,584288,877527,569069,225071,953504,306927,875750,143296
126,917937,634183,219576,30807,40347,598718,517920,981137
127,114471,904641,697023,871017,616636,556279,182224,221514
128,368003,929240,669313,250755,384332,78467,823215,378397
129,886092,735406,374619,645629,375749,930040,152077,649903
130,922097,765941,533779,912140,55539,153456,117686,408931
131,14015,951915,16651,743228,393557,352617,591568,743210
132,451640,714573,682878,716050,226728,440042,325625,168523
133,567544,634116,718554,179368,439096,747608,777082,978756
134,299552,673137,985925,537500,345676,902076,117774,251920
135,546617,83513,209320,207892,853757,772494,769024,634835
136,230946,235836,375629,388401,825874,766169,963878,522123
137,320735,785878,110161,772360,657935,177506,824845,929192
138,294990,900308,660738,812116,856238,386054,868460,673650
139,487769,726300,549968,134236,555406,379011,174915,347216
140,284347,707283,298545,324500,867449,722095,685954,877191
141,847610,629572,406280,395516,595756,218693,963187,749110
142,892510,98708,21351,537750,617018,952837,225192,288770
143,189258,434779,610678,86623,745577,231151,809597,376204
144,331089,896219,321471,647815,883483,729604,525949,906798
145,196436,586342,324441,902437,400223,495914,247249,199425
146,868546,568475,124960,572577,503184,670948,117082,86622
147,893240,660645,568630,504293,246104,813652,339138,105042
148,923226,718140,453885,744721,18008,276880,747124,720227
149,170283,585890,244755,991236,9678,985719,154820,610525
150,262567,692461,734049,144942,804425,606909,531617,140206
151,241428,383694,461974,180530,32271,378308,377153,447850
152,936805,70180,382406,277325,553180,300910,914115,247284
153,830406,478557,813075,936230,598981,330752,322718,375319
154,263971,210163,919080,273950,333135,158111,368105,147370
155,548382,170566,70219,957797,803942,523744,266306,319370
156,847248,890834,334684,433150,759779,898855,776973,832311
157,710224,146022,969465,551102,694097,68009,206553,62217
158,608488,95149,772753,668303,397383,637607,647483,286205
159,24449,699443,408504,857365,891739,914369,644270,994293
160,258073,456019,563268,529416,88939,585674,547104,155319
161,309951,747558,343325,35442,774371,720352,191426,428818
162,689246,255130,367827,218439,753619,386760,452734,480949
163,932594,865046,296648,734337,650533,768278,981956,59898
164,836111,944975,396501,838483,814141,79739,757584,390125
165,81301,986072,551615,396318,859099,572055,880898,972722
166,239893,140912,431445,220962,925743,252175,951990,134626
167,23950,298578,775886,968030,704185,182404,259853,720130
168,341788,17998,407467,102384,465518,249618,908206,19999
169,926193,322795,86082,389953,885841,876155,491154,434011
170,232121,287738,295795,241714,405486,52760,291658,809611
171,15071,576496,837666,12556,119897,157188,133236,411262
172,506148,404930,133013,894647,277567,284473,219854,525343
173,338216,153204,459376,6457,784011,512186,600632,988293
174,824023,653239,578285,393551,174426,273580,709846,497903
175,965711,421493,670736,159545,610541,299461,674045,134545
176,482176,810736,187705,834875,90529,414072,873262,706691
177,409465,779078,87578,141224,27791,123931,497118,818876
178,632723,549675,707915,93675,129955,612762,465926,43505
179,313423,876325,209016,781998,276178,702979,739646,318769
180,118181,598073,403742,228079,690866,117493,791760,681560
181,405098,181439,10862,374968,763971,858275,777480,381330
182,680504,661333,535982,461873,87697,876212,482446,976950
183,605256,921917,988745,305273,329093,81093,983822,723658
184,703678,101231,780068,453983,862098,214566,676123,532446
185,332509,729131,25193,217424,24971,549582,876024,570560
186,578409,234773,87568,277484,806326,29491,462799,782676
187,499294,828133,209935,864167,861402,451209,796244,196882
188,761837,24815,78557,13130,464464,26475,21684,481597
189,680354,878871,258927,88264,665399,828119,687535,956782
190,590356,825399,456640,519786,743163,311764,956607,710217
191,300091,146463,562872,221880,904914,367814,59570,721874
192,947900,859863,707074,849830,754570,732714,700787,652245
193,628861,569123,50793,241662,490340,381160,72662,857896
194,620316,453157,275174,94988,298158,666544,846376,24995
195,636830,31481,944067,106356,233421,353804,887955,316739
196,241725,776268,707530,886289,288605,555075,698123,719291
197,717011,114995,174175,65314,700612,718867,711183,666592
198,889067,794081,649994,497704,239960,482183,892479,705330
199,789643,377687,260534,798644,186217,6022,714172,994477
200,971032,666577,287785,349999,809627,645754,737064,518519
201,359083,806209,1690,370352,678182,656783,109636,369715
202,229828,936662,567814,764864,701213,535070,333084,600383
203,307469,12575,147823,371630,463547,335915,685076,938046
204,677322,96023,285963,138066,803011,464039,148784,338471
205,106903,560258,45415,313076,353930,489976,421241,15490
206,470271,652832,157062,849622,667644,30438,801938,174378
207,461164,858574,823962,843236,859255,316609,869342,893105
208,104741,700245,215155,447418,222138,894519,181861,193499
209,997763,421858,800046,855388,972471,732874,268658,223920
210,723034,317924,592850,784454,564404,714764,359742,806177
