,0,1,2,3,4,5,6,7
0,864618,377936,693738,639344,207560,770695,152265,38815
1,494302,571061,630277,26228,19439,266175,795701,407503
2,749596,67152,586768,300251,230083,790069,556451,195746
3,552079,155041,776381,618441,28115,704163,869549,981063
4,699944,217811,496367,710138,876916,743059,757372,655268
5,121169,605909,843585,950895,751063,661878,261859,569931
6,434197,396195,83881,403876,535909,237862,907333,211609
7,165765,538641,718644,492666,407095,965416,227642,892863
8,553613,507460,184235,466018,389084,304548,945753,70721
9,514579,476597,770293,178871,930705,317276,859952,401475
10,298768,101689,413822,436043,148861,397595,99227,803594
11,354380,611568,621972,790276,167103,540065,280289,579369
12,600096,447198,393035,378195,545148,920012,202047,795885
13,389224,720156,134001,73743,210203,650278,472585,252287
14,962470,221391,117735,432934,796729,976097,170126,157626
15,844815,847100,713335,764431,199547,452398,389263,518399
16,230434,180763,480375,720866,309955,728392,370062,998186
17,290036,656745,138013,437959,828680,925193,205519,137636
18,135389,531141,50943,118668,471459,551022,88463,794294
19,239810,509847,750583,846623,164442,634714,228092,377594
20,290762,293104,936520,825103,79978,550505,778829,259100
21,368740,300394,693950,664827,61091,766340,349015,472060
22,463872,70508,780141,614793,480621,552464,456505,634016
23,200353,606406,840524,355300,181459,910479,787678,418113
24,107141,492314,643526,262431,873155,860656,59790,640369
25,401889,603217,106001,363483,861844,156640,717508,856369
26,506337,951567,559785,860462,31913,205382,23753,988212
27,929610,708599,871682,312312,291562,699610,24690,434304
28,937395,918149,20288,937953,479365,187703,271298,927562
29,667636,763866,824154,452840,935299,499972,627348,756591
30,375862,875620,786256,283074,73861,937732,8727,450247
31,458839,993485,988132,381024,172251,305515,563895,147174
32,411291,687835,610422,476881,284954,676301,913217,698179
33,514752,163399,464553,122447,329003,289190,178646,655872
34,74821,661354,550663,477247,797564,263289,473493,855435
35,796665,210989,567958,412122,336065,393568,12635,159549
36,262153,881994,396588,16730,94647,115013,617942,310887
37,495520,601412,711299,482672,298689,831696,204045,975094
38,745544,81409,822932,881677,929176,343456,145762,276201
39,86908,104143,172773,874946,837149,112700,93126,144136
40,549469,243496,813936,546323,178571,312680,411991,859356
41,826406,459610,340747,473653,272933,71154,926513,384
42,449816,598937,929333,22387,848467,381052,426049,319577
43,698600,765042,794950,745582,596772,16588,561948,303398
44,966177,254463,870909,927769,60315,266477,281789,484143
45,23712,437048,370449,765493,442967,327476,791878,50583
46,966310,661707,934659,113561,952980,71769,69793,475831
47,811783,667961,605284,834687,64558,894185,692919,632956
48,152440,55024,230683,19023,793143,140029,657622,494930
49,589158,26768,844570,145713,906628,785202,842573,317946
50,536443,798143,336843,562864,118456,770602,681612,6411
51,428001,94387,521429,298706,318117,710605,185433,972006
52,188306,801580,741789,759061,709365,496734,867486,350164
53,188929,737814,552389,535213,713128,101291,928543,460399
54,781460,988504,149044,832790,977117,754862,707007,968350
55,257941,875691,334806,61089,78305,858574,854667,934127
56,522597,692099,226542,115403,559848,935666,932725,52474
57,919564,303689,958724,301633,281666,366386,673642,297691
58,908558,685838,301643,131061,195643,660560,112662,124242
59,920563,315547,322335,536314,639776,413865,137500,710509
60,492770,899964,172184,776360,314686,904500,586875,150774
61,660001,875191,884153,368114,10079,183911,126233,165190
62,840363,585749,521217,889673,775871,806445,128684,320115
63,732287,163683,415851,639624,707877,55030,361471,238351
64,218960,427585,847455,46985,816993,75469,946297,459271
65,699165,285249,580433,726355,269150,122292,831196,721976
66,981410,274146,874761,111860,271689,517172,850919,676198
67,685108,559488,472494,676543,903378,523907,285309,467354
68,135926,754273,648856,985476,430520,610901,912301,894476
69,233145,988842,342824,371764,270675,458454,224389,401207
70,262361,775024,96950,723003,971774,359438,416075,239763
71,295554,20580,594489,231305,313877,305592,427039,572408
72,282326,485562,56382,814143,222062,164093,381354,382716
73,667957,187924,746895,994585,615914,957124,415125,904436
74,376505,294137,464760,281977,780051,137037,240443,266820
75,523452,403446,410821,635805,611291,435799,30416,883213
76,167277,509920,293209,297895,57008,444410,586534,992980
77,861657,650036,482271,201030,462415,881529,231114,669975
78,145521,898897,479191,493384,969943,160181,541395,548203
79,794265,413738,749407,624434,47197,50841,29079,145789
80,58746,992422,477832,991920,31711,290691,959676,739461
81,21759,336063,72761,649566,388592,851485,905772,39076
82,621499,724735,818914,308490,522613,778289,843616,195933
83,965551,794264,820716,67438,975672,863787,775381,677917
84,264801,725878,279356,829699,363499,237888,522585,698333
85,600041,919291,32004,546840,485092,276797,551663,130810
