,0,1,2,3,4,5,6,7
0,273473,82777,614946,60663,821495,992075,463212,635323
1,94675,25956,864552,330818,918729,216048,602170,799223
2,935988,545161,932531,896716,510085,682724,159122,203912
3,522209,585370,818834,27506,989915,339907,572830,625893
4,292326,983305,24772,882793,486101,441426,953235,810116
5,68257,903206,85607,589401,75099,500076,441521,563134
6,30411,174380,289619,543343,230114,568570,873290,503274
7,937233,760956,507179,382633,640900,875951,63342,870607
8,418697,823862,460927,930131,654626,566333,703376,457280
9,469580,999804,948010,655416,541380,125081,362894,991393
10,417710,78733,232130,817676,666280,953793,990224,251112
11,683499,573581,917694,545326,243705,942331,534054,718666
12,894658,53217,436044,941306,935308,263072,864801,346415
13,115780,712470,290385,853791,165990,833249,231753,930509
14,769406,970512,406491,619168,226279,864293,754438,909342
15,751893,529386,535518,917817,817934,529646,942214,620234
16,840334,141554,992658,11682,99023,736315,169459,801429
17,164733,584737,683097,722539,230574,403456,119450,509442
18,768803,680286,220821,964289,574097,208497,435961,96476
19,698936,209794,298206,377158,118814,858341,178835,518318
20,382848,600797,598063,306760,779461,462846,387948,889818
21,101557,661353,586082,563026,929739,58094,877830,270567
22,146226,702007,185072,893090,266483,137274,541940,323810
23,344454,943491,804265,434481,472156,130967,269904,951484
24,360330,49066,350384,200518,151408,116641,425538,430640
25,800610,588602,923097,265672,490739,981470,369277,938183
26,840153,177031,471302,173719,277341,680441,214033,675411
27,952323,856009,135633,733149,215412,9168,901407,130769
28,655552,189782,295366,599034,220311,224580,854008,804804
29,833647,763059,598234,723217,366008,713754,664085,349568
30,610786,434059,43936,211809,15857,74416,497856,742937
31,21803,267627,366570,230088,863988,92921,876920,547242
32,351981,843602,13509,57187,368675,762367,197617,22974
33,929412,832556,115865,769407,468491,721427,259634,173904
34,21410,152830,966610,563343,344588,699865,68524,760333
35,277306,781049,893386,395230,135504,481219,64600,112431
36,909641,477085,725908,779174,955022,69654,190192,68343
37,697800,350704,559661,926437,405636,235263,549404,957355
38,789671,587203,386872,509043,283448,956874,221259,750716
39,945390,378852,53442,754204,267906,918307,820639,508869
