,0,1,2,3,4,5,6,7
0,641542,213908,616159,262247,455849,713917,168357,968324
1,488277,172430,736972,644830,841596,177120,836126,629501
2,689172,596111,294413,277167,238775,674831,406909,459890
3,809320,541058,580100,743051,737985,162197,571056,238057
4,85599,55004,893882,278547,184899,327712,5453,745998
5,921450,460733,686341,394051,544408,670684,128793,770815
6,398715,541165,819173,471107,427592,25814,119187,519792
7,436092,901700,106521,70485,694966,666217,297468,310203
8,209517,962886,453818,415899,645464,457143,64997,394339
9,396546,939690,324192,199952,32942,55219,413704,672260
10,574577,791745,949612,474671,944983,658831,712436,904296
11,18043,723286,629191,662099,409532,710077,860155,682473
12,494498,349653,746071,980007,37584,97480,695585,413289
13,630462,679206,760291,746372,867854,793155,322847,823542
14,506952,803654,620852,461495,873636,289228,627902,764844
15,599420,82253,761978,109134,923874,628515,413821,698752
16,543882,491962,209272,905634,600286,730972,906059,233663
17,135797,622488,160959,394134,87356,44634,978966,262625
18,579036,517454,328241,27816,982546,440121,984623,441617
19,325257,893764,873714,790785,892613,476458,187395,380822
20,956747,860763,793613,858519,551875,158157,199741,343484
21,459482,696321,514940,475024,220112,364031,723475,611998
22,646120,234377,158800,755119,946864,263962,702191,259140
23,684944,83315,620806,406476,766738,870569,726591,835644
24,368358,137506,125118,266927,421111,175248,415591,218797
25,303944,806228,52615,614720,288425,939471,248363,257453
26,580023,304967,551842,527295,88498,601755,61001,77231
27,459649,160852,671078,478491,887745,810954,832496,478423
28,548776,38407,537565,159258,839800,978650,182918,348982
29,533630,301214,682125,653117,310266,529460,804965,495264
30,285678,560301,622454,881109,666376,451114,11842,922916
31,597748,473924,895223,415207,966538,361609,421995,741524
32,641497,607166,477963,14232,624857,877049,83901,233001
33,190192,132499,99607,477190,117602,988655,163622,231253
34,284175,858329,116768,15684,182047,151813,520917,200121
35,416795,19950,628378,910175,867104,812556,908959,387219
36,587829,579237,601843,755422,62533,723397,509529,694832
37,254327,404902,198725,4448,872835,939833,238558,341294
38,300168,402941,380598,660938,275964,708652,202170,313984
39,715277,840525,256806,249655,87915,710293,139719,902149
40,284685,397695,970961,509987,288366,324267,928904,771641
41,991222,910244,684105,459876,975847,322172,414325,702963
42,29195,480639,635935,843456,148478,737752,124169,56039
43,945550,276501,86171,508044,863191,18946,329565,520684
44,920497,761371,284287,114188,778614,637296,862853,412484
45,555020,301950,27286,960026,247250,759953,803279,175919
46,592262,593823,682951,972991,953221,286141,431718,74818
47,247300,40181,26044,570673,444012,536466,721829,67065
48,731901,640168,397275,542008,917995,832665,381912,886046
49,625627,872328,360910,499553,291374,988858,664223,947072
50,590683,359510,665750,628905,925906,575507,793620,535519
51,333386,252526,293707,392288,328923,311415,79732,185163
52,985310,377259,127872,461123,9494,266857,947482,588174
53,707754,400129,434977,398697,968992,175804,282482,597452
54,779428,418403,310223,245378,825953,235329,423991,520863
55,491673,128050,867230,897894,137075,48564,916224,684378
56,738162,576856,455410,133471,376331,195878,434553,781019
57,395730,291593,482901,188077,894120,545406,355459,411103
58,496420,534128,265127,975364,104379,408155,430147,659529
